url,type
http://37.49.226.178/deusbins/deus.sh4,malware
medical-dictionary.thefreedictionary.com/Galt+trephine,benign
www.jscape.com/sshfactory/,phishing
http://www.wsnc.org.au/component/jcalpro/view/983,defacement
virtualtourist.com/travel/North_America/Canada/Province_of_Quebec/Montreal-906413/Transportation-Montreal-Train-BR-2.html,benign
evri.com/person/donald-ballard-0x87e96,benign
http://www.sweethome.com.gr/index.php?option=com_estateagent&act=cat&task=showCE&id=9,defacement
www.msnbc.msn.com/?id=3475953,phishing
http://www.mruniquespaving.co.uk/paved-driveway-gallery,defacement
http://torcache.net/torrent/4646B1C156C01B1D1B8FDC82282E80C5938906C2.torrent?title=[kickass.to]mad.men.s07e07.hdtv.x264.lol.vtv.mp4,benign
cartoonfactory.com/history.asp,benign
pahdb.mcgill.ca/?Topic=Information&Section=Clinical&Page=1,benign
http://www.zibae.ir/index.php?view=article&catid=10:1389-09-13-23-32-07&id=96:1389-12-14-16-29-01&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=8,defacement
http://patrikcase.com/index2.php?option=com_virtuemart&Itemid=29&pop=1&tmpl=component,defacement
amazon.co.uk/Pbs-Kids-Pack-Region-NTSC/dp/B000J3EG94,benign
ourbis.ca/lecommensalmcgill,benign
onlinemovie4u.net/2010/03/underworld-rise-of-lycans-2009-in-hindi.html,benign
http://www.sportraad-maasmechelen.be/index.php?option=com_contact&view=contact&id=13:rik-peeters&catid=1:leden&Itemid=2,defacement
s1.zetaboards.com/SGECS/topic/4547396/1/?x=0,benign
https://medium.com/matter/strike-paula-deen-down-and-she-shall-become-more-powerful-than-you-can-possibly-imagine-6c6fbda4bde4,benign
http://audeantenne.com/index.php?option=com_content&view=article&id=61&Itemid=156,defacement
daytrading.about.com/?once=true&amp;,phishing
teamusa.org/news/2010/03/01/u-s-men-set-to-face-the-netherlands-march-3-in-final-fifa-international-fixture-date-before-2010-fifa-world-cup/34221,benign
nvshpo.org/index.php?option=com_content&task=view&id=368&Itemid=9,benign
www.cis.hut.fi/oja/,phishing
paypal.com.cgi-bin.webscr.cmd.login-run.5885d80a13c0db1f8e263663d3wi892ee8dcbdhe788a5.bssolders.com/ab2d47c04327979a7ed75558ace0b43c/,benign
filmstore.bfi.org.uk/acatalog/info_4543.html,benign
http://www.lontechshop.co.uk/repair-and-services.html,defacement
runwalkhb.org.nz/index.html,benign
http://mail.creeksidecottagebc.com/~real700p/support.update.your.information.account/signup/account/,phishing
www.loquendo.com/en/technology/TTS.htm,phishing
pastebin.com/d/tirez-moi.com,benign
http://www.bcm-shop.de/home.html?page=shop.product_details&flypage=flypage.tpl&product_id=2455&category_id=106,defacement
http://olx.ua/list/q-%D0%BC%D0%BE%D1%82%D0%BE%D0%B1%D0%BB%D0%BE%D0%BA/?search%5Bpaidads_listing%5D=1,benign
asianfanatics.net/forum/topic/596357-ethan-ruan-and-gillian-chung-pair-up-for-new-drama-bai-quan-nv-wang/,benign
ovieuxbouquins.com/cat256/cat256canada.htm,benign
http://indianexpress.com/article/good-news/covered-in-tar-street-dog-rescued-in-three-hours/,benign
alien8recordings.com/artists/shalabi-effect,benign
http://www.mainoldtimer.de/index.php?option=com_user&view=reset&Itemid=75,defacement
allanmcgavinphysio.com/Bio-Chris.html,benign
blog-humour.net/,benign
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-runbus-offer-20150302152430859,benign
